u023;7-0	厄瓜多尔的历史	0	0	["7-0-0", "7-0-1", "7-0-2", "7-0-3", "7-0-4"]	[-1, -1, -1, -1, -1]	[1, 1, 1, 1, 1]	[643.7142868041992, 1035.5714111328125, 782.0, 1119.285888671875, 787.0476188659668]	[3537.8542683763662, 1531.71693959666, 755.827793689001, 939.222987792881, 1572.878026280024]	[5496.000851465469, 1479.1031532254385, 966.5317054846561, 839.126980245723, 1998.4534462429815]
u023;7-1	厄瓜多尔的历史	0	0	["7-1-0", "7-1-1", "7-1-2", "7-1-3", "7-1-4", "7-1-5"]	[-1, -1, -1, -1, -1, -1]	[1, 1, 1, 1, 1, 1]	[950.7618942260742, 659.5714111328125, 767.0, 552.142822265625, 835.71435546875, 533.4760856628418]	[7480.736834052323, 7886.479712642724, 10104.420695218261, 1604.3494660618717, 2658.9122694357825, 1033.0740230592664]	[7868.149617146453, 11956.976272057807, 13173.951362735674, 2905.6783885710843, 3181.60415940732, 1936.4954696622929]
u018;9-0	复仇者联盟2大结局	0	0	["9-0-0", "9-0-1", "9-0-2"]	[-1, -1, -1]	[1, 1, 1]	[482.5714645385742, 391.0, 748.3332633972168]	[27121.672989982297, 21721.092574732193, 7944.280226285899]	[56202.39691527458, 55552.66643154013, 10615.96565976656]
u018;9-1	复仇者联盟2大结局	0	0	["9-1-0", "9-1-1", "9-1-2", "9-1-3", "9-1-4"]	[-1, -1, -1, -1, -1]	[1, 1, 1, 1, 1]	[682.1904830932617, 444.71435546875, 820.71435546875, 943.142822265625, 1109.3332633972168]	[5507.37864975829, 4167.00496433093, 7040.521635021958, 14108.600133711612, 23551.54467016641]	[8073.080446367618, 9370.070727621802, 8578.52867822785, 14959.134290838183, 21230.36011562682]
u018;9-2	复仇者联盟2大结局	0	0	["9-2-0", "9-2-1", "9-2-2", "9-2-3"]	[-1, -1, -1, -1]	[1, 1, 1, 1]	[858.5714645385742, 552.142822265625, 743.2857666015625, 464.7619743347168]	[42543.34491290271, 9611.67539400648, 2982.5409983643467, 1189.8395766803662]	[49551.314794473124, 17407.951360422634, 4012.643766879952, 2560.1052633093773]
u011;20-1	李嘉诚	0	0	["20-1-0", "20-1-1", "20-1-2", "20-1-3", "20-1-4", "20-1-5", "20-1-6", "20-1-7", "20-1-8"]	[-1, -1, -1, -1, -1, -1, -1, -1, -1]	[1, 1, 1, 1, 1, 1, 1, 1, 1]	[966.0000534057617, 713.28564453125, 1050.571533203125, 874.428466796875, 337.285888671875, 391.0, 1035.5712890625, 713.28564453125, 464.7619743347168]	[7330.745142819511, 2931.0355858586686, 4794.946324111671, 8709.62787021795, 7055.722273022548, 6856.737097675259, 5249.148160818098, 2293.062762539658, 2211.537682875506]	[7588.762668256584, 4109.203105839678, 4564.131211029666, 9960.366343198144, 20919.114940757667, 17536.412014514728, 5068.842885331573, 3214.788885940064, 4758.430777477461]
u011;20-0	李嘉诚	0	0	["20-0-0", "20-0-1", "20-0-2", "20-0-3", "20-0-4", "20-0-5", "20-0-6", "20-0-7", "20-0-8", "20-0-9", "20-0-10"]	[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[428.6190719604492, 552.142822265625, 283.5714111328125, 283.571533203125, 1158.0, 229.857177734375, 620.857177734375, 498.428466796875, 298.5712890625, 391.0, 587.1906852722168]	[5377.811645871768, 14385.841572688407, 6006.045608783881, 5864.052391627557, 21882.677720126616, 4858.79649234603, 8576.474332612874, 9534.229244410932, 6093.86546006454, 8519.992501966975, 8253.522499594053]	[12546.832368597925, 26054.565943026355, 21180.01100601397, 20679.270325160178, 18896.958307535937, 21138.328331695167, 13813.924748216727, 19128.58088881273, 20410.085240275428, 21790.262153368225, 14055.949296552257]
u011;20-2	李嘉诚	0	0	["20-2-0", "20-2-1", "20-2-2", "20-2-3", "20-2-4", "20-2-5", "20-2-6", "20-2-7", "20-2-8", "20-2-9", "20-2-10", "20-2-11"]	[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[413.6190719604492, 337.28570556640625, 406.00006103515625, 283.5714111328125, 337.28564453125, 283.5714111328125, 459.71435546875, 620.857177734375, 391.0, 283.571533203125, 552.142578125, 640.9050407409668]	[3075.6847679697885, 3392.500862839466, 1691.5858493579867, 695.8280186835061, 2457.1706409100834, 2141.211250498984, 2487.044023362198, 11923.193490487896, 3489.525366178694, 3289.6179388760083, 4517.9549326365905, 3315.615922051831]	[7436.0322733471285, 10058.240852936284, 4166.466982899072, 2453.8017281213533, 7285.132589396117, 7550.871372911898, 5409.976855794011, 19204.40629195571, 8924.617304804844, 11600.66351413216, 8182.5874540937275, 5173.334131088378]
u034;4-2	大专读什么专业好	0	0	["4-2-0", "4-2-1", "4-2-2", "4-2-3", "4-2-4", "4-2-5", "4-2-6", "4-2-7", "4-2-8"]	[-1, -1, -1, -1, -1, -1, -1, -1, -1]	[1, 1, 1, 1, 1, 1, 1, 1, 1]	[390.38094329833984, 820.7143249511719, 728.2857666015625, 713.2857666015625, 674.5712890625, 659.571533203125, 620.857177734375, 552.142578125, 303.6193962097168]	[3266.7972176947437, 10662.601295331988, 13128.889373809901, 7563.924147705732, 12584.5796881699, 10270.398372915082, 3388.6179189493364, 2986.179504182067, 1143.2394828300967]	[8368.229222700984, 12991.854743081713, 18027.1123999497, 10604.339104849823, 18655.670486153645, 15571.318433101871, 5457.966889124231, 5408.3485362109195, 3765.370385100283]
u034;4-1	大专读什么专业好	0	0	["4-1-0", "4-1-1", "4-1-2", "4-1-3", "4-1-4"]	[-1, -1, -1, -1, -1]	[1, 1, 1, 1, 1]	[643.7142868041992, 1626.4285888671875, 820.71435546875, 444.71435546875, 249.9045524597168]	[10858.785373080535, 23428.827404379033, 15032.603056489357, 3167.9179095273935, 766.3155881503559]	[16868.95194914866, 14405.075983506465, 18316.4860664628, 7123.4892028350605, 3066.4330865836537]
